"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order"
"true","false","[]","[]","[]","preload","0","194","0.0-0.0","","","","passed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","66086","0.0-1.0","","","","passed","[{""page_index"":0,""viewing_time"":65890}]","65891","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","67071","0.0-2.0","","","","passed","","","1430","822","true","chrome","131.0.0","false","Mac OS","true","61.27","true","true","","","","","","","","","","","","",""
"","","","","","external-html","3","87136","0.0-3.0","","","","passed","","19914","","","","","","","","","","","","consent.html","","","","","","","","","","","",""
"true","","","","","fullscreen","4","90955","0.0-4.0","","","","passed","","3515","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","91956","0.0-5.0","","","","passed","","","2133","1200","true","chrome","131.0.0","false","Mac OS","true","60.11","true","true","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","96045","0.0-6.0","","","","passed","","4087","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","7","99521","0.0-7.0","","","","passed","","3474","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","",""
"","","","","","html-keyboard-response","8","101703","0.0-8.0","","","","passed","","2181","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","",""
"","","","","","browser-check","9","102706","0.0-9.0","","","","passed","","","2133","1200","true","chrome","131.0.0","false","Mac OS","true","60.01","true","true","","","","","","","","","","","","",""
